date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:40	129892/129892	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1fb64%22	https://themewagon.github.io/clyde/images/work-3.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/work-3.jpg	(from https://themewagon.github.io/clyde/)
10:14:40	121766/121766	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1dba6%22	https://themewagon.github.io/clyde/images/work-4.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/work-4.jpg	(from https://themewagon.github.io/clyde/)
10:14:40	101670/101670	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-18d26%22	https://themewagon.github.io/clyde/images/work-5.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/work-5.jpg	(from https://themewagon.github.io/clyde/)
10:14:40	110307/110307	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1aee3%22	https://themewagon.github.io/clyde/images/work-6.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/work-6.jpg	(from https://themewagon.github.io/clyde/)
10:14:41	119817/119817	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1d409%22	https://themewagon.github.io/clyde/images/work-7.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/work-7.jpg	(from https://themewagon.github.io/clyde/)
10:14:41	144052/144052	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-232b4%22	https://themewagon.github.io/clyde/images/work-8.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/work-8.jpg	(from https://themewagon.github.io/clyde/)
10:14:41	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-8cfa%22	https://themewagon.github.io/clyde/images/person_1.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/person_1.jpg	(from https://themewagon.github.io/clyde/)
10:14:41	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-bb43%22	https://themewagon.github.io/clyde/images/person_2.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/person_2.jpg	(from https://themewagon.github.io/clyde/)
10:14:41	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-8918%22	https://themewagon.github.io/clyde/images/person_3.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/person_3.jpg	(from https://themewagon.github.io/clyde/)
10:14:42	20963/20963	---M-Z	200	added ('OK')	text/html	etag:W/%22639fee36-51e3%22	https://themewagon.github.io/clyde/single.html	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/single.html	(from https://themewagon.github.io/clyde/)
10:14:42	50857/50857	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-c6a9%22	https://themewagon.github.io/clyde/images/image_1.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/image_1.jpg	(from https://themewagon.github.io/clyde/)
10:14:42	76443/76443	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-12a9b%22	https://themewagon.github.io/clyde/images/image_2.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/image_2.jpg	(from https://themewagon.github.io/clyde/)
10:14:42	67519/67519	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-107bf%22	https://themewagon.github.io/clyde/images/image_3.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/image_3.jpg	(from https://themewagon.github.io/clyde/)
10:14:43	268038/268038	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-41706%22	https://themewagon.github.io/clyde/js/jquery.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/jquery.min.js	(from https://themewagon.github.io/clyde/)
10:14:43	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-2c9d%22	https://themewagon.github.io/clyde/js/jquery-migrate-3.0.1.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/jquery-migrate-3.0.1.min.js	(from https://themewagon.github.io/clyde/)
10:14:43	19032/19032	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-4a58%22	https://themewagon.github.io/clyde/js/popper.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/popper.min.js	(from https://themewagon.github.io/clyde/)
10:14:43	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-e2d8%22	https://themewagon.github.io/clyde/js/bootstrap.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/bootstrap.min.js	(from https://themewagon.github.io/clyde/)
10:14:44	8111/8111	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-1faf%22	https://themewagon.github.io/clyde/js/jquery.easing.1.3.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/jquery.easing.1.3.js	(from https://themewagon.github.io/clyde/)
10:14:44	8835/8835	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-2283%22	https://themewagon.github.io/clyde/js/jquery.waypoints.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/jquery.waypoints.min.js	(from https://themewagon.github.io/clyde/)
10:14:44	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-3135%22	https://themewagon.github.io/clyde/js/jquery.stellar.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/jquery.stellar.min.js	(from https://themewagon.github.io/clyde/)
10:14:44	43237/43237	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-a8e5%22	https://themewagon.github.io/clyde/js/owl.carousel.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/owl.carousel.min.js	(from https://themewagon.github.io/clyde/)
10:14:44	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-4ef8%22	https://themewagon.github.io/clyde/js/jquery.magnific-popup.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/jquery.magnific-popup.min.js	(from https://themewagon.github.io/clyde/)
10:14:45	1391/1391	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-56f%22	https://themewagon.github.io/clyde/js/jquery.animateNumber.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/jquery.animateNumber.min.js	(from https://themewagon.github.io/clyde/)
10:14:45	7447/7447	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-1d17%22	https://themewagon.github.io/clyde/js/scrollax.min.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/scrollax.min.js	(from https://themewagon.github.io/clyde/)
10:14:45	1946/1946	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-79a%22	https://themewagon.github.io/clyde/js/google-map.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/google-map.js	(from https://themewagon.github.io/clyde/)
10:14:45	6691/6691	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fee36-1a23%22	https://themewagon.github.io/clyde/js/main.js	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/js/main.js	(from https://themewagon.github.io/clyde/)
10:14:46	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/clyde/css/owl.video.play.png	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/css/owl.video.play.png	(from https://themewagon.github.io/clyde/css/owl.carousel.min.css)
10:14:46	10110/10110	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22639fee36-277e%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.eot	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.eot	(from https://themewagon.github.io/clyde/css/flaticon.css)
10:14:47	10110/10110	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22639fee36-277e%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.eot?	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/fonts/flaticon/font/Flaticond41d.eot	(from https://themewagon.github.io/clyde/css/flaticon.css)
10:14:47	6460/6460	---M--	200	added ('OK')	font/woff	etag:%22639fee36-193c%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.woff	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.woff	(from https://themewagon.github.io/clyde/css/flaticon.css)
10:14:47	9932/9932	---M-Z	200	added ('OK')	font/ttf	etag:W/%22639fee36-26cc%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.ttf	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.ttf	(from https://themewagon.github.io/clyde/css/flaticon.css)
10:14:48	56204/56204	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22639fee36-db8c%22	https://themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.svg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/fonts/flaticon/font/Flaticon.svg	(from https://themewagon.github.io/clyde/css/flaticon.css)
10:14:48	117315/117315	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1ca43%22	https://themewagon.github.io/clyde/images/bg_4.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/bg_4.jpg	(from https://themewagon.github.io/clyde/single.html)
10:14:48	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/clyde/blog.html	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/blog.html	(from https://themewagon.github.io/clyde/single.html)
10:14:49	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/clyde/images/image_4.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/image_4.jpg	(from https://themewagon.github.io/clyde/single.html)
